1500,1180,1380,1300,1020,1570,1420,1610,1930,1590,707,514,1640,840,971,1670,936,1340,1310,1170,1220,1050,1600,1570,1490
1530,1150,1380,1300,974,1520,1470,1650,1920,1570,693,505,1630,817,951,1640,912,1340,1280,1110,1190,1190,1640,1530,1460
1490,1120,1360,1280,947,1500,1430,1640,1920,1550,686,496,1630,796,932,1610,869,1320,1280,1030,1150,1760,1650,1510,1440
1460,1090,1360,1220,935,1490,1600,1630,1920,1500,673,495,1620,779,913,1630,855,1300,1280,1090,1120,1710,1610,1490,1420
1450,1050,1350,1150,904,1480,1640,1620,1910,1450,665,486,1620,762,892,1620,962,1270,1270,1110,1100,1620,1560,1480,1410
1430,1010,1330,1110,880,1470,1580,1610,1890,1420,665,495,1610,736,872,1600,991,1220,1250,1080,1090,1580,1540,1470,1410
1420,980,1300,1090,857,1460,1530,1580,1840,1350,665,475,1610,727,896,1600,1210,1180,1240,1030,1070,1570,1530,1470,1410
1410,960,1270,1060,860,1440,1500,1570,1790,1270,665,460,1600,713,1340,1720,1310,1140,1220,963,1030,1560,1520,1460,1400
1380,945,1210,1030,889,1380,1500,1570,1730,1290,665,458,1570,698,1870,1760,1330,1140,1200,924,1010,1550,1500,1450,1400
1380,925,1150,1000,900,1330,1500,1570,1640,1350,664,458,1560,682,1810,1660,1320,1210,1140,892,1070,1540,1510,1440,1390
1360,905,1120,1060,922,1270,1500,1570,1520,1360,1330,445,1560,666,1750,1620,1310,1220,1090,860,1260,1520,1520,1430,1390
1350,895,1080,1320,1110,1220,1490,1560,1450,1340,1500,440,1560,652,1830,1590,1310,1210,1060,827,1480,1490,1500,1420,1390
1340,885,1040,1340,1260,1160,1470,1540,1390,1300,1510,440,1560,638,1880,1570,1270,1230,1020,793,1520,1430,1480,1380,1390
1340,910,1010,1310,1260,1110,1440,1510,1340,1260,1480,440,1560,624,1840,1530,1230,1320,993,779,1490,1370,1450,1350,1410
1340,925,985,1270,1220,1060,1420,1520,1300,1560,1460,440,1540,613,1810,1500,1160,1310,922,774,1440,1280,1390,1340,1420
1340,1090,965,1220,1110,1020,1420,1530,1260,1610,1440,440,1710,608,1780,1470,1090,1290,906,758,1380,1210,1290,1310,1440
1340,1190,935,1180,1030,992,1420,1530,1220,1600,1400,440,1760,608,1730,1460,1050,1310,892,743,1310,1170,1210,1270,1450
