0,1.3,0,0,0,1.3,0,0,0,0,0,0,5.6,0,0,0,0.6,11,0,3.8,3,0,0,0.5,24,0
0,0,0,2.8,0,0,0,2.8,0,1,0,0,1.2,0,0,0,3.1,0,0,0,0,0,0,0,5,0
0,1.3,0,0,0,1.3,0,0,0,2.5,0,0,17.4,0,0.3,11.3,0,0,5.4,1.3,0,0,0,0,60,0
0,4.4,0,0,0,4.4,0,0,0,0.9,0,0,0,0,0,90.2,0,0,0.7,3.5,0,0,0,0,11,4.5
0,0,1.2,0,0,0,1.2,0,18,0,0,0,10.3,0,0.5,6.8,0,14.7,0,0.8,0,0,0,0,37,13.8
0,0,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0,9.8,0,0,3.1,0,0,0,48.5,32,6,0
0,0,0,0,0,0,0,0,0.5,0,24.2,0,0.9,0,0,11.6,0,4.6,33.8,0,14,0,28,10.5,1.8,0
0,0,0,25.3,0,0,0,25.3,0,0.4,3.5,0,40.8,0,0,0,0,8.2,33.3,0,0,0,5,0,1.1,0
0,0,0,1,0,0,0,1,0,0,0,0,8.1,0,0,0.5,0,4.4,0,0,9.5,0,0.5,0,0.2,0
0,0,9.8,0,0,0,9.8,0,0,0,0,0,14.5,0,0,0,0,0,0,0,5.5,17.5,1.5,0,0,1.2
0,0,12.5,2.1,0,0,12.5,2.1,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,4,0,5.1,5.6
0,0,18.3,28.8,0,0,18.3,28.8,0,0,0,0,0.2,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0.1
0,0,0,18.4,0,0,0,18.4,0,0,0,0,12.8,0.8,0,0,0,0,0,0,0.5,20.5,6.5,0,0,11.9
0,0,0,0,0,0,0,0,4.5,0,7.2,0,0,20.2,0.2,1.2,0.4,11.3,0,0,0,24.5,2,0,0,11.6
0,0,90.3,0,0,0,90.3,0,0,0,0,0,1,8.9,1.4,10.2,3.2,0,0,18.8,0,0,0,0,0,5.8
0.3,0,4.8,3.2,0.3,0,4.8,3.2,0,9.3,0,8.9,0,0,0,8.3,0,0.6,0,0,0,0,0,0.5,0,0
0,0,0,1.1,0,0,0,1.1,0,0,0,12.3,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0
8.3,0,0,8.7,8.3,0,0,8.7,0,3,0,1.2,2,0,21.7,17.7,0,0,0,8.5,0,0,0,0,0,0
5.8,0,0,0,5.8,0,0,0,0,3.3,1.6,0,19.4,0,35.7,8.5,0,1,0,0,0,0,0,0,0,0.7
5.5,1.3,1.8,0,5.5,1.3,1.8,0,0,8.7,0,0,2.7,0,14.3,0,0,11.9,0,0,3,0,0,9.5,0,5.2
0,9.8,0,0,0,9.8,0,0,0,0,4.5,0,0,0,5.2,0,0,0,4.1,0,10,0,1,0.5,0,4.4
11.3,0,0,0,11.3,0,0,0,0,0,47.9,0,0.5,0,5.6,0,2.3,0,0,0,0,1.5,5,0,0,0
5.2,0,0,0,5.2,0,0,0,0,0,16.5,0,0.8,0,31.3,0,0,4.2,1,0.8,0,0,0,6.5,21,0.8
0,0,6.2,2.5,0,0,6.2,2.5,0,0,2.6,0,0,0,0,0,2.7,8.3,2.5,0,0,0,0,6.5,15.8,0.3
0,0,0,0,0,0,0,0,0,11.3,0,0,7.2,0,6.5,0,3,2.2,0,6.7,0,0,0,9,6.4,0
