42.3,28.5,22.4,23.2,30,18.3,17.9,27.5,19.5,16.1,40.2,18.7,49.6,29.4,45.4,78.5,91,34,18.1,8.45,17.9,24.3,29.8,22.5,22.5,22.5
43.3,25.6,24,23.2,30.7,17.2,17.4,23.4,24.7,15.5,39.3,17.8,44.6,26.8,40.9,58.5,65.5,38.5,30.1,7.5,17.7,22.1,25.7,21.4,21.4,21.4
42.3,22.4,28,24.8,33.8,16.6,17.4,20.8,22.7,15.5,33.2,18.4,35.5,25.8,37.6,46.5,51.5,53.5,53.5,6.7,17.3,21.3,28.7,21.9,21.9,21.9
41.4,20,28.5,23.2,39.6,16.1,17.9,20.2,21.4,16.1,33.1,17.8,29.6,27.2,37.4,38.3,44.9,44.1,43.9,8.5,16.3,20,26.8,23,23,23
40.4,20,29,23.2,46.4,16.1,17.4,20.8,20.1,16.6,30.8,16.8,28.8,30.4,34.1,32.3,39.1,43.1,37.8,11.5,15.3,19.6,24.7,21.5,21.5,21.5
37.7,17.9,29.5,22.4,55.5,16.6,16.3,20.2,22,38.4,28.5,15.1,27,28.3,31.2,33.3,35.5,40.6,39.1,11.6,15,20,22,21.2,21.2,21.2
36.9,20,29.5,18.8,48.2,16.1,15.8,19.1,24.7,54,28.7,14.5,25.6,27.8,29.5,92.5,33.3,36.6,50,10.8,14.6,20.1,19.9,19.6,19.6,19.6
29,19.3,30.5,17.6,46.4,16.1,15.3,18.5,21.4,67.8,26.7,15.1,26.4,24.6,30.9,93,33.2,36.4,47.9,9.9,13.5,20.1,17.9,20.5,20.5,20.5
24.8,17.2,30,15.8,50,17.2,15.3,19.1,17.7,59,23.5,15.9,37.9,23.5,29.7,66.5,33.9,37.9,41.6,9.3,12.2,20.2,16.6,23.3,23.3,23.3
27.6,15.8,28,14.6,47.3,17.2,15.3,19.6,16,50,20.8,15,40.9,24.9,29.4,51.5,34.3,47.8,35.3,9.45,11.3,20.2,15.8,23.5,23.5,23.5
29,15.8,23.2,14,52,19.5,15.3,19.1,14.9,40,18.9,13.4,36,28.5,30.4,47,34.6,45.1,32.9,9.4,10.6,20.3,15,24.6,24.6,24.6
29,15.8,21.6,15.8,51,30,16.3,18.5,14.3,35.2,17.4,11.8,48.9,32,26.4,83.5,32.1,38.9,27.8,11.7,10,20.3,13.5,25.4,25.4,25.4
37.7,17.2,20,14.6,48.2,36.2,19.6,17.9,14.9,31.3,17.7,12.3,40.3,36.6,28.1,137,29.8,37.4,23.2,14.7,9.55,20.4,12.5,26.5,26.5,26.5
124,14.4,19.4,14,47.3,37.1,19.6,17.4,32.5,28.5,17.1,12.9,35.2,39.3,30.8,108,28.8,38.1,21.2,14.3,9.3,20.4,11.9,26.8,26.8,26.8
76.5,15.1,20,13.7,39.6,30.7,20.2,16.3,35.8,25.7,16.9,10.9,32.7,42.5,29.8,86.5,29,34.4,23.5,13.4,9.1,20.5,36.6,92.5,92.5,92.5
52,13.7,18.8,13,41.3,32.2,26.1,17.4,27.7,23.7,18.4,10.9,30.2,49.4,30.2,98,28.9,34.7,79,13.3,9.55,20.5,152,84.5,84.5,84.5
44.2,13.7,20,13.3,34.6,32.2,24.7,26.1,24,22.5,17,12.9,35.6,42.5,28.9,79.5,27.7,36.1,94.5,13.8,9.1,21.9,95.5,62,62,62
55.5,13.7,24.8,29.7,33,31.5,25.4,22.1,21.4,21.2,15.4,14,31.1,43.7,26,65.5,28.5,37.3,59,14,10.2,21.7,74.5,54.5,54.5,54.5
52,13,35.8,38.6,31.5,28.6,43.5,20.8,19.5,21.2,14.7,14.4,54.5,39.9,21.7,54,28.6,34.5,46.3,14.7,10.4,30.2,57,53.5,53.5,53.5
57.5,14.4,40,40,30.7,24.5,60.4,31.2,17.7,20.6,14,15.1,53,32.8,19.3,48.5,27.5,32,37.7,13.4,10.5,22.3,66,49.3,49.3,49.3
253,15.1,39.3,33,27.2,22.5,112,79.5,17.1,20.6,14.7,13.1,51,30.1,19.8,49.3,23.9,28.2,30.3,11.9,12.3,17.6,78,46.7,46.7,46.7
